Symbol,Date,NewsSentiment,Signal_strength,Close,High,Low,Resistance,Support,52High,52Low,Trend,Alpha,Beta,Bucket
MIDHANI.ns,2023-06-23,0.0,0.5,280.8,291.7,277.3,298.65,213.7,298.65,173.75,Bullish,1,1,NiftyMicroCap250
MOLDTKPAC.ns,2023-06-23,0.0,0.38,1016.6,1034.0,1002.0,1023.25,920.0,1092.85,818.45,Bullish,1,1,NiftyMicroCap250
MOREPENLAB.ns,2023-06-23,0.0,0.44,29.7,30.8,29.55,31.25,25.1,42.65,24.35,Bullish,1,1,NiftyMicroCap250
BECTORFOOD.ns,2023-06-23,0.0,0.31,850.4,852.0,828.3,850.4,640.0,850.4,380.95,Bullish,1,1,NiftyMicroCap250
NAVA.ns,2023-06-23,0.0,0.38,320.9,331.2,318.25,329.6,235.5,329.6,180.55,Bullish,1,1,NiftyMicroCap250
NAVNETEDUL.ns,2023-06-23,0.0,0.25,123.05,124.85,121.65,128.4,111.05,143.8,89.35,Bullish,1,1,NiftyMicroCap250
NEULANDLAB.ns,2023-06-23,0.0,0.31,2786.65,2825.05,2745.0,3080.85,2603.6,3080.85,1398.75,Bullish,1,1,NiftyMicroCap250
PCJEWELLER.ns,2023-06-23,0.0,0.44,26.4,26.95,26.3,27.65,23.35,103.85,22.4,Bullish,1,1,NiftyMicroCap250
PSPPROJECT.ns,2023-06-23,0.0,0.44,768.35,785.0,758.0,773.2,687.35,773.2,564.2,Bullish,1,1,NiftyMicroCap250
PTC.ns,2023-06-23,0.0,0.5,117.75,118.8,113.05,119.75,92.2,119.75,69.65,Bullish,1,1,NiftyMicroCap250
PARADEEP.ns,2023-06-23,0.0,0.44,62.05,64.4,61.25,63.6,51.65,63.6,49.0,Bullish,1,1,NiftyMicroCap250
PARAS.ns,2023-06-23,0.0,0.44,609.55,645.0,605.0,637.0,491.15,660.1,450.1,Bullish,1,1,NiftyMicroCap250
PGHL.ns,2023-06-23,0.0,0.25,5148.85,5190.0,5100.05,5318.9,4890.0,5318.9,3953.0,Bullish,1,1,NiftyMicroCap250
PURVA.ns,2023-06-23,0.0,0.5,98.3,99.4,96.15,98.3,81.0,109.2,59.9,Bullish,1,1,NiftyMicroCap250
RKFORGE.ns,2023-06-23,0.0,0.25,429.6,458.0,425.0,469.45,350.4,469.45,219.05,Bullish,1,1,NiftyMicroCap250
RATEGAIN.ns,2023-06-23,0.0,0.44,405.05,409.9,392.35,415.9,370.1,415.9,264.1,Bullish,1,1,NiftyMicroCap250
RTNPOWER.ns,2023-06-23,0.0,0.38,4.7,5.1,4.35,4.7,3.05,4.7,2.85,Bullish,1,1,NiftyMicroCap250
RPOWER.ns,2023-06-23,0.0,0.31,14.75,14.95,14.4,16.75,11.35,16.85,9.15,Bullish,1,1,NiftyMicroCap250
ROLEXRINGS.ns,2023-06-23,0.0,0.44,2175.95,2244.6,2146.1,2228.05,1855.0,2228.05,1689.55,Bullish,1,1,NiftyMicroCap250
